X,Result
-6.283185307179586,0.9999999957655092
-6.183185307179587,1.005020915895297
-6.083185307179587,1.0203388434465355
-5.983185307179587,1.046751629128509
-5.883185307179588,1.0857044459271703
-5.783185307179588,1.139493938606239
-5.683185307179588,1.211628321862374
-5.583185307179589,1.307459264598656
-5.483185307179589,1.4353242029576658
-5.383185307179589,1.6087257315057377
-5.28318530717959,1.8508156577864945
-5.18318530717959,2.2046043407549964
-5.0831853071795905,2.7597035595940453
-4.983185307179591,3.738334085260999
-4.883185307179591,5.883490029294753
-4.783185307179592,14.13683273433076
-4.683185307179592,-34.2471135809503
-4.583185307179592,-7.761293386841019
-4.483185307179593,-4.4013677685523085
-4.383185307179593,-3.093202175368485
-4.283185307179593,-2.402997953732615
-4.183185307179594,-1.980801653304763
-4.083185307179594,-1.699232168597069
-3.983185307179594,-1.500879487224369
-3.883185307179594,-1.3561276489413907
-3.783185307179594,-1.2482156546163432
-3.6831853071795937,-1.1670126339547304
-3.5831853071795936,-1.1061064200212285
-3.4831853071795935,-1.061320607074759
-3.3831853071795934,-1.0299104843790887
-3.2831853071795933,-1.0101086634441918
-3.1831853071795932,-1.0008655973570986
-3.083185307179593,-1.0017081365847822
-2.983185307179593,-1.0126789736217048
-2.883185307179593,-1.034342030550021
-2.783185307179593,-1.0678550494154047
-2.683185307179593,-1.1151275332311004
-2.5831853071795927,-1.179106193646032
-2.4831853071795926,-1.2642741100531776
-2.3831853071795925,-1.37753891198749
-2.2831853071795924,-1.5298856550647368
-2.1831853071795924,-1.7396630843816367
-2.0831853071795923,-2.0397306014229706
-1.9831853071795922,-2.4950151398230935
-1.883185307179592,-3.2538010019039216
-1.783185307179592,-4.743927548422719
-1.683185307179592,-8.916428607786935
-1.5831853071795918,-80.71895755270994
-1.4831853071795917,11.428704204343996
-1.3831853071795916,5.36157469394757
-1.2831853071795916,3.5253200862769973
-1.1831853071795915,2.6456584302036923
-1.0831853071795914,2.1343957669739018
-0.9831853071795914,1.803835305151631
-0.8831853071795914,1.5755651863517095
-0.7831853071795915,1.411094467028257
-0.6831853071795915,1.289381107458629
-0.5831853071795915,1.1980168727804281
-0.4831853071795915,1.1292805877293763
-0.38318530717959154,1.078192191279021
-0.28318530717959156,1.0414819312168193
-0.18318530717959156,1.0170162819701054
-0.08318530717959155,1.0034699012643735
